author,communityId,publications
Yunqi Liu,3026,Semiconducting π-conjugated systems in field-effect transistors: a material odyssey of organic electronics.
Daoben Zhu,3027,Semiconducting π-conjugated systems in field-effect transistors: a material odyssey of organic electronics.
Gabriel Cornilescu,3028,Protein backbone angle restraints from searching a database for chemical shift and sequence homology; TALOS+: a hybrid method for predicting protein backbone torsion angles from NMR chemical shifts
F. Delaglio,3029,Protein backbone angle restraints from searching a database for chemical shift and sequence homology; TALOS+: a hybrid method for predicting protein backbone torsion angles from NMR chemical shifts
A. Bax,3030,Protein backbone angle restraints from searching a database for chemical shift and sequence homology; TALOS+: a hybrid method for predicting protein backbone torsion angles from NMR chemical shifts
J. Beckman,3031,"Diabetes and atherosclerosis: epidemiology, pathophysiology, and management."
M. Creager,3032,"Diabetes and atherosclerosis: epidemiology, pathophysiology, and management."
P. Libby,3033,"Diabetes and atherosclerosis: epidemiology, pathophysiology, and management."
Kate Saenko,3034,Adapting Visual Category Models to New Domains
Brian Kulis,3035,Adapting Visual Category Models to New Domains
Mario Fritz,3036,Adapting Visual Category Models to New Domains
N. Salari,3037,"Prevalence of stress, anxiety, depression among the general population during the COVID-19 pandemic: a systematic review and meta-analysis"
A. Hosseinian-Far,3038,"Prevalence of stress, anxiety, depression among the general population during the COVID-19 pandemic: a systematic review and meta-analysis"
R. Jalali,3039,"Prevalence of stress, anxiety, depression among the general population during the COVID-19 pandemic: a systematic review and meta-analysis"
Aliakbar Vaisi-Raygani,3040,"Prevalence of stress, anxiety, depression among the general population during the COVID-19 pandemic: a systematic review and meta-analysis"
Shna Rasoulpoor,3041,"Prevalence of stress, anxiety, depression among the general population during the COVID-19 pandemic: a systematic review and meta-analysis"
M. Mohammadi,3042,"Prevalence of stress, anxiety, depression among the general population during the COVID-19 pandemic: a systematic review and meta-analysis"
Shabnam Rasoulpoor,3043,"Prevalence of stress, anxiety, depression among the general population during the COVID-19 pandemic: a systematic review and meta-analysis"
Behnam Khaledi-Paveh,3044,"Prevalence of stress, anxiety, depression among the general population during the COVID-19 pandemic: a systematic review and meta-analysis"
Mikaela Koutrouli,3045,The STRING database in 2023: protein–protein association networks and functional enrichment analyses for any sequenced genome of interest
Farrokh Mehryary,3046,The STRING database in 2023: protein–protein association networks and functional enrichment analyses for any sequenced genome of interest
Radja Hachilif,3047,The STRING database in 2023: protein–protein association networks and functional enrichment analyses for any sequenced genome of interest
David Arndt,3048,"PHASTER: a better, faster version of the PHAST phage search tool; HMDB: the Human Metabolome Database; HMDB 4.0: the human metabolome database for 2018; HMDB 3.0—The Human Metabolome Database in 2013; DrugBank 4.0: shedding new light on drug metabolism"
Yongjie Liang,3049,"PHASTER: a better, faster version of the PHAST phage search tool; HMDB 4.0: the human metabolome database for 2018; PHAST: A Fast Phage Search Tool"
O. Maimon,3050,Data Mining And Knowledge Discovery Handbook
L. Rokach,3051,Data Mining And Knowledge Discovery Handbook
Ying-li Tian,3052,Comprehensive database for facial expression analysis; Recognizing Action Units for Facial Expression Analysis
Jana Marie Schwarz,3053,MutationTaster evaluates disease-causing potential of sequence alterations
C. Rödelsperger,3054,MutationTaster evaluates disease-causing potential of sequence alterations
M. Schuelke,3055,MutationTaster evaluates disease-causing potential of sequence alterations
D. Seelow,3056,MutationTaster evaluates disease-causing potential of sequence alterations
Elodie Fleury,3057,"Generation and analysis of a 29,745 unique Expressed Sequence Tags from the Pacific oyster (Crassostrea gigas) assembled into a publicly accessible database: the GigasDatabase"
Arnaud Huvet,3058,"Generation and analysis of a 29,745 unique Expressed Sequence Tags from the Pacific oyster (Crassostrea gigas) assembled into a publicly accessible database: the GigasDatabase"
C. Lelong,3059,"Generation and analysis of a 29,745 unique Expressed Sequence Tags from the Pacific oyster (Crassostrea gigas) assembled into a publicly accessible database: the GigasDatabase"
J. de Lorgeril,3060,"Generation and analysis of a 29,745 unique Expressed Sequence Tags from the Pacific oyster (Crassostrea gigas) assembled into a publicly accessible database: the GigasDatabase"
Viviane Boulo,3061,"Generation and analysis of a 29,745 unique Expressed Sequence Tags from the Pacific oyster (Crassostrea gigas) assembled into a publicly accessible database: the GigasDatabase"
Y. Gueguen,3062,"Generation and analysis of a 29,745 unique Expressed Sequence Tags from the Pacific oyster (Crassostrea gigas) assembled into a publicly accessible database: the GigasDatabase"
E. Bachère,3063,"Generation and analysis of a 29,745 unique Expressed Sequence Tags from the Pacific oyster (Crassostrea gigas) assembled into a publicly accessible database: the GigasDatabase"
Arnaud Tanguy,3064,"Generation and analysis of a 29,745 unique Expressed Sequence Tags from the Pacific oyster (Crassostrea gigas) assembled into a publicly accessible database: the GigasDatabase"
Dario Moraga,3065,"Generation and analysis of a 29,745 unique Expressed Sequence Tags from the Pacific oyster (Crassostrea gigas) assembled into a publicly accessible database: the GigasDatabase"
C. Fabioux,3066,"Generation and analysis of a 29,745 unique Expressed Sequence Tags from the Pacific oyster (Crassostrea gigas) assembled into a publicly accessible database: the GigasDatabase"
Penelope Lindeque,3067,"Generation and analysis of a 29,745 unique Expressed Sequence Tags from the Pacific oyster (Crassostrea gigas) assembled into a publicly accessible database: the GigasDatabase"
Jenny Shaw,3068,"Generation and analysis of a 29,745 unique Expressed Sequence Tags from the Pacific oyster (Crassostrea gigas) assembled into a publicly accessible database: the GigasDatabase"
Richard Reinhardt,3069,"Generation and analysis of a 29,745 unique Expressed Sequence Tags from the Pacific oyster (Crassostrea gigas) assembled into a publicly accessible database: the GigasDatabase"
Patrick Prunet,3070,"Generation and analysis of a 29,745 unique Expressed Sequence Tags from the Pacific oyster (Crassostrea gigas) assembled into a publicly accessible database: the GigasDatabase"
Grace C. Davey,3071,"Generation and analysis of a 29,745 unique Expressed Sequence Tags from the Pacific oyster (Crassostrea gigas) assembled into a publicly accessible database: the GigasDatabase"
S. Lapègue,3072,"Generation and analysis of a 29,745 unique Expressed Sequence Tags from the Pacific oyster (Crassostrea gigas) assembled into a publicly accessible database: the GigasDatabase"
Christopher Sauvage,3073,"Generation and analysis of a 29,745 unique Expressed Sequence Tags from the Pacific oyster (Crassostrea gigas) assembled into a publicly accessible database: the GigasDatabase"
C. Corporeau,3074,"Generation and analysis of a 29,745 unique Expressed Sequence Tags from the Pacific oyster (Crassostrea gigas) assembled into a publicly accessible database: the GigasDatabase"
Jeanne Moal,3075,"Generation and analysis of a 29,745 unique Expressed Sequence Tags from the Pacific oyster (Crassostrea gigas) assembled into a publicly accessible database: the GigasDatabase"
F. Gavory,3076,"Generation and analysis of a 29,745 unique Expressed Sequence Tags from the Pacific oyster (Crassostrea gigas) assembled into a publicly accessible database: the GigasDatabase"
P. Wincker,3077,"Generation and analysis of a 29,745 unique Expressed Sequence Tags from the Pacific oyster (Crassostrea gigas) assembled into a publicly accessible database: the GigasDatabase"
François Moreews,3078,"Generation and analysis of a 29,745 unique Expressed Sequence Tags from the Pacific oyster (Crassostrea gigas) assembled into a publicly accessible database: the GigasDatabase"
C. Klopp,3079,"Generation and analysis of a 29,745 unique Expressed Sequence Tags from the Pacific oyster (Crassostrea gigas) assembled into a publicly accessible database: the GigasDatabase"
Michel Mathieu,3080,"Generation and analysis of a 29,745 unique Expressed Sequence Tags from the Pacific oyster (Crassostrea gigas) assembled into a publicly accessible database: the GigasDatabase"
P. Boudry,3081,"Generation and analysis of a 29,745 unique Expressed Sequence Tags from the Pacific oyster (Crassostrea gigas) assembled into a publicly accessible database: the GigasDatabase"
P. Favrel,3082,"Generation and analysis of a 29,745 unique Expressed Sequence Tags from the Pacific oyster (Crassostrea gigas) assembled into a publicly accessible database: the GigasDatabase"
Wanjuan Yang,3083,Genomics of Drug Sensitivity in Cancer (GDSC): a resource for therapeutic biomarker discovery in cancer cells
Jorge Soares,3084,Genomics of Drug Sensitivity in Cancer (GDSC): a resource for therapeutic biomarker discovery in cancer cells
Patricia Greninger,3085,Genomics of Drug Sensitivity in Cancer (GDSC): a resource for therapeutic biomarker discovery in cancer cells
E. Edelman,3086,Genomics of Drug Sensitivity in Cancer (GDSC): a resource for therapeutic biomarker discovery in cancer cells
H. Lightfoot,3087,Genomics of Drug Sensitivity in Cancer (GDSC): a resource for therapeutic biomarker discovery in cancer cells
S. Forbes,3088,Genomics of Drug Sensitivity in Cancer (GDSC): a resource for therapeutic biomarker discovery in cancer cells; COSMIC: mining complete cancer genomes in the Catalogue of Somatic Mutations in Cancer; COSMIC: somatic cancer genetics at high-resolution
Nidhi Bindal,3089,Genomics of Drug Sensitivity in Cancer (GDSC): a resource for therapeutic biomarker discovery in cancer cells; COSMIC: mining complete cancer genomes in the Catalogue of Somatic Mutations in Cancer; COSMIC: somatic cancer genetics at high-resolution
D. Beare,3090,Genomics of Drug Sensitivity in Cancer (GDSC): a resource for therapeutic biomarker discovery in cancer cells; COSMIC: mining complete cancer genomes in the Catalogue of Somatic Mutations in Cancer; COSMIC: somatic cancer genetics at high-resolution
James A. Smith,3091,Genomics of Drug Sensitivity in Cancer (GDSC): a resource for therapeutic biomarker discovery in cancer cells
I. R. Thompson,3092,Genomics of Drug Sensitivity in Cancer (GDSC): a resource for therapeutic biomarker discovery in cancer cells
Sridhar Ramaswamy,3093,Genomics of Drug Sensitivity in Cancer (GDSC): a resource for therapeutic biomarker discovery in cancer cells
P. Futreal,3094,Genomics of Drug Sensitivity in Cancer (GDSC): a resource for therapeutic biomarker discovery in cancer cells; COSMIC: mining complete cancer genomes in the Catalogue of Somatic Mutations in Cancer
D. Haber,3095,Genomics of Drug Sensitivity in Cancer (GDSC): a resource for therapeutic biomarker discovery in cancer cells
C. Benes,3096,Genomics of Drug Sensitivity in Cancer (GDSC): a resource for therapeutic biomarker discovery in cancer cells
U. McDermott,3097,Genomics of Drug Sensitivity in Cancer (GDSC): a resource for therapeutic biomarker discovery in cancer cells
M. Garnett,3098,Genomics of Drug Sensitivity in Cancer (GDSC): a resource for therapeutic biomarker discovery in cancer cells
K. Quandt,3099,MatInd and MatInspector: new fast and versatile tools for detection of consensus matches in nucleotide sequence data.
K. Frech,3100,MatInd and MatInspector: new fast and versatile tools for detection of consensus matches in nucleotide sequence data.
H. Karas,3101,MatInd and MatInspector: new fast and versatile tools for detection of consensus matches in nucleotide sequence data.
E. Wingender,3102,"MatInd and MatInspector: new fast and versatile tools for detection of consensus matches in nucleotide sequence data.; TRANSFAC® and its module TRANSCompel®: transcriptional gene regulation in eukaryotes; TRANSFAC®: transcriptional regulation, from patterns to profiles"
Thomas Werner,3103,MatInd and MatInspector: new fast and versatile tools for detection of consensus matches in nucleotide sequence data.
J. Valenzuela-Fuenzalida,3104,A systematic review and metaanalysis
Orellana Donoso,3105,A systematic review and metaanalysis
Iwanaga,3106,A systematic review and metaanalysis
D. Tzur,3107,"HMDB: the Human Metabolome Database; DrugBank: a knowledgebase for drugs, drug actions and drug targets; HMDB: a knowledgebase for the human metabolome"
Roman Eisner,3108,HMDB: the Human Metabolome Database; HMDB 3.0—The Human Metabolome Database in 2013; DrugBank 3.0: a comprehensive resource for ‘Omics’ research on drugs; HMDB: a knowledgebase for the human metabolome
N. Young,3109,HMDB: the Human Metabolome Database; HMDB: a knowledgebase for the human metabolome
D. Cheng,3110,"HMDB: the Human Metabolome Database; DrugBank: a knowledgebase for drugs, drug actions and drug targets; HMDB: a knowledgebase for the human metabolome"
K. Jewell,3111,HMDB: the Human Metabolome Database
S. Sawhney,3112,HMDB: the Human Metabolome Database
Chris Fung,3113,HMDB: the Human Metabolome Database
Lisa Nikolai,3114,HMDB: the Human Metabolome Database
Mike Lewis,3115,HMDB: the Human Metabolome Database
M. Coutouly,3116,HMDB: the Human Metabolome Database
I. Forsythe,3117,HMDB: the Human Metabolome Database; HMDB: a knowledgebase for the human metabolome
Peter Tang,3118,HMDB: the Human Metabolome Database
Kevin Jeroncic,3119,HMDB: the Human Metabolome Database
G. Amegbey,3120,HMDB: the Human Metabolome Database
David Block,3121,HMDB: the Human Metabolome Database; The Bioperl toolkit: Perl modules for the life sciences.
D. Hau,3122,HMDB: the Human Metabolome Database; HMDB: a knowledgebase for the human metabolome
James R. Wagner,3123,HMDB: the Human Metabolome Database
Jessica Miniaci,3124,HMDB: the Human Metabolome Database
M. Clements,3125,HMDB: the Human Metabolome Database; HMDB: a knowledgebase for the human metabolome
M. Gebremedhin,3126,HMDB: the Human Metabolome Database
Natalie Guo,3127,HMDB: the Human Metabolome Database
Y. Zhang,3128,HMDB: the Human Metabolome Database
G. Duggan,3129,HMDB: the Human Metabolome Database
Glen D. MacInnis,3130,HMDB: the Human Metabolome Database
Alim M. Weljie,3131,HMDB: the Human Metabolome Database
R. Dowlatabadi,3132,HMDB: the Human Metabolome Database
F. Bamforth,3133,HMDB: the Human Metabolome Database
D. Clive,3134,HMDB: the Human Metabolome Database; HMDB: a knowledgebase for the human metabolome
R. Greiner,3135,HMDB: the Human Metabolome Database; HMDB 3.0—The Human Metabolome Database in 2013; HMDB: a knowledgebase for the human metabolome
Liang Li,3136,HMDB: the Human Metabolome Database; HMDB: a knowledgebase for the human metabolome
T. Marrie,3137,HMDB: the Human Metabolome Database
B. Sykes,3138,HMDB: the Human Metabolome Database
H. Vogel,3139,HMDB: the Human Metabolome Database; HMDB: a knowledgebase for the human metabolome
Lori Querengesser,3140,HMDB: the Human Metabolome Database
S. Le,3141,An improved general amino acid replacement matrix.
S. Chaudhuri,3142,An overview of data warehousing and OLAP technology
U. Dayal,3143,"An overview of data warehousing and OLAP technology; PrefixSpan,: mining sequential patterns efficiently by prefix-projected pattern growth"
J. Moy,3144,OSPF Version 2
J. Chave,3145,Towards a worldwide wood economics spectrum.; TRY – a global database of plant traits; Improved allometric models to estimate the aboveground biomass of tropical trees
D. Coomes,3146,Towards a worldwide wood economics spectrum.; TRY – a global database of plant traits
S. Jansen,3147,Towards a worldwide wood economics spectrum.; TRY – a global database of plant traits
S. Lewis,3148,Towards a worldwide wood economics spectrum.; TRY – a global database of plant traits
N. Swenson,3149,Towards a worldwide wood economics spectrum.; TRY – a global database of plant traits
A. Zanne,3150,Towards a worldwide wood economics spectrum.; TRY – a global database of plant traits
Kevin Y. H. Liang,3151,HMDB 4.0: the human metabolome database for 2018
R. Vázquez-Fresno,3152,HMDB 4.0: the human metabolome database for 2018
N. Karu,3153,HMDB 4.0: the human metabolome database for 2018
M. Berjanskii,3154,HMDB 4.0: the human metabolome database for 2018
Sandeep Singhal,3155,HMDB 4.0: the human metabolome database for 2018
Hasan Badran,3156,HMDB 4.0: the human metabolome database for 2018
Arnau Serra-Cayuela,3157,HMDB 4.0: the human metabolome database for 2018
R. Mandal,3158,HMDB 4.0: the human metabolome database for 2018; HMDB 3.0—The Human Metabolome Database in 2013; HMDB: a knowledgebase for the human metabolome
V. Neveu,3159,HMDB 4.0: the human metabolome database for 2018; HMDB 3.0—The Human Metabolome Database in 2013; DrugBank 4.0: shedding new light on drug metabolism; DrugBank 3.0: a comprehensive resource for ‘Omics’ research on drugs
C. Manach,3160,HMDB 4.0: the human metabolome database for 2018
A. Scalbert,3161,HMDB 4.0: the human metabolome database for 2018; HMDB 3.0—The Human Metabolome Database in 2013
Simon Baker,3162,"A Database and Evaluation Methodology for Optical Flow; The CMU Pose, Illumination, and Expression Database; The CMU Pose, Illumination, and Expression (PIE) database"
D. Scharstein,3163,A Database and Evaluation Methodology for Optical Flow
J. P. Lewis,3164,A Database and Evaluation Methodology for Optical Flow
S. Roth,3165,A Database and Evaluation Methodology for Optical Flow
Michael J. Black,3166,A Database and Evaluation Methodology for Optical Flow; End-to-End Recovery of Human Shape and Pose
R. Szeliski,3167,A Database and Evaluation Methodology for Optical Flow
L. Parfrey,3168,The SILVA and “All-species Living Tree Project (LTP)” taxonomic frameworks
Guangchuang Yu,3169,"ChIPseeker: an R/Bioconductor package for ChIP peak annotation, comparison and visualization"
Li-Gen Wang,3170,"ChIPseeker: an R/Bioconductor package for ChIP peak annotation, comparison and visualization"
Qing‐Yu He,3171,"ChIPseeker: an R/Bioconductor package for ChIP peak annotation, comparison and visualization"
Mari Ishiguro-Watanabe,3172,KEGG for taxonomy-based analysis of pathways and genomes; KEGG: integrating viruses and cellular organisms
Sergei Põlme,3173,Global diversity and geography of soil fungi
N. Yorou,3174,Global diversity and geography of soil fungi
Ravi L. C. Wijesundera,3175,Global diversity and geography of soil fungi
Luis Villarreal Ruiz,3176,Global diversity and geography of soil fungi
A. Vasco-Palacios,3177,Global diversity and geography of soil fungi
P. Q. Thu,3178,Global diversity and geography of soil fungi
Matthew E. Smith,3179,Global diversity and geography of soil fungi
Cathy Sharp,3180,Global diversity and geography of soil fungi
Erki Saluveer,3181,Global diversity and geography of soil fungi
A. Saitta,3182,Global diversity and geography of soil fungi
Miguel Rosas,3183,Global diversity and geography of soil fungi
T. Riit,3184,Global diversity and geography of soil fungi
D. Ratkowsky,3185,Global diversity and geography of soil fungi
K. Pritsch,3186,Global diversity and geography of soil fungi
M. Piepenbring,3187,Global diversity and geography of soil fungi
C. Phosri,3188,Global diversity and geography of soil fungi
Kaarin Parts,3189,Global diversity and geography of soil fungi
K. Pärtel,3190,Global diversity and geography of soil fungi
Eveli Otsing,3191,Global diversity and geography of soil fungi
E. Nouhra,3192,Global diversity and geography of soil fungi
A. Njouonkou,3193,Global diversity and geography of soil fungi
R. Nilsson,3194,Global diversity and geography of soil fungi
Luis N. Morgado,3195,Global diversity and geography of soil fungi
Jordan R. Mayor,3196,Global diversity and geography of soil fungi
Tom W. May,3197,Global diversity and geography of soil fungi
L. Majuakim,3198,Global diversity and geography of soil fungi
D. Lodge,3199,Global diversity and geography of soil fungi
Su See Lee,3200,Global diversity and geography of soil fungi
K. Hosaka,3201,Global diversity and geography of soil fungi
Indrek Hiiesalu,3202,Global diversity and geography of soil fungi
T. Henkel,3203,Global diversity and geography of soil fungi
Helery Harend,3204,Global diversity and geography of soil fungi
Liang-Dong Guo,3205,Global diversity and geography of soil fungi
Alina Greslebin,3206,Global diversity and geography of soil fungi
G. Grelet,3207,Global diversity and geography of soil fungi
J. Geml,3208,Global diversity and geography of soil fungi
Genevieve M. Gates,3209,Global diversity and geography of soil fungi
W. Dunstan,3210,Global diversity and geography of soil fungi
Chris Dunk,3211,Global diversity and geography of soil fungi
R. Drenkhan,3212,Global diversity and geography of soil fungi
J. Dearnaley,3213,Global diversity and geography of soil fungi
A. De Kesel,3214,Global diversity and geography of soil fungi
Tan Dang,3215,Global diversity and geography of soil fungi
Xin Chen,3216,Global diversity and geography of soil fungi
F. Buegger,3217,Global diversity and geography of soil fungi
F. Brearley,3218,Global diversity and geography of soil fungi
G. Bonito,3219,Global diversity and geography of soil fungi
Sten Anslan,3220,Global diversity and geography of soil fungi
S. Abell,3221,Global diversity and geography of soil fungi
J. Deeks,3222,Evaluating non-randomised intervention studies.
J. Dinnes,3223,Evaluating non-randomised intervention studies.
R. D'amico,3224,Evaluating non-randomised intervention studies.
A. Sowden,3225,Evaluating non-randomised intervention studies.
C. Sakarovitch,3226,Evaluating non-randomised intervention studies.
F. Song,3227,Evaluating non-randomised intervention studies.
M. Petticrew,3228,Evaluating non-randomised intervention studies.
J. Mann,3229,Suicide prevention strategies: a systematic review.
A. Apter,3230,Suicide prevention strategies: a systematic review.
J. Bertolote,3231,Suicide prevention strategies: a systematic review.
A. Beautrais,3232,Suicide prevention strategies: a systematic review.
D. Currier,3233,Suicide prevention strategies: a systematic review.
A. Haas,3234,Suicide prevention strategies: a systematic review.
U. Hegerl,3235,Suicide prevention strategies: a systematic review.
J. Lonnqvist,3236,Suicide prevention strategies: a systematic review.
K. Malone,3237,Suicide prevention strategies: a systematic review.
A. Marušič,3238,Suicide prevention strategies: a systematic review.
L. Mehlum,3239,Suicide prevention strategies: a systematic review.
G. Patton,3240,Suicide prevention strategies: a systematic review.
M. Phillips,3241,Suicide prevention strategies: a systematic review.
W. Rutz,3242,Suicide prevention strategies: a systematic review.
Z. Rihmer,3243,Suicide prevention strategies: a systematic review.
A. Schmidtke,3244,Suicide prevention strategies: a systematic review.
D. Shaffer,3245,Suicide prevention strategies: a systematic review.
M. Silverman,3246,Suicide prevention strategies: a systematic review.
Yoshitomo Takahashi,3247,Suicide prevention strategies: a systematic review.
A. Varnik,3248,Suicide prevention strategies: a systematic review.
D. Wasserman,3249,Suicide prevention strategies: a systematic review.
P. Yip,3250,Suicide prevention strategies: a systematic review.
H. Hendin,3251,Suicide prevention strategies: a systematic review.
S. Whelan,3252,A general empirical model of protein evolution derived from multiple protein families using a maximum-likelihood approach.
N. Goldman,3253,A general empirical model of protein evolution derived from multiple protein families using a maximum-likelihood approach.
Emmanuel Quevillon,3254,InterProScan: protein domains identifier
Ville Silventoinen,3255,InterProScan: protein domains identifier
Sharmila Pillai,3256,InterProScan: protein domains identifier
Nicola Harte,3257,InterProScan: protein domains identifier
N. Mulder,3258,InterProScan: protein domains identifier; InterPro: the integrative protein signature database
S. Pimm,3259,"The biodiversity of species and their rates of extinction, distribution, and protection"
Clinton N. Jenkins,3260,"The biodiversity of species and their rates of extinction, distribution, and protection"
R. Abell,3261,"The biodiversity of species and their rates of extinction, distribution, and protection"
T. Brooks,3262,"The biodiversity of species and their rates of extinction, distribution, and protection"
L. Joppa,3263,"The biodiversity of species and their rates of extinction, distribution, and protection"
P. Raven,3264,"The biodiversity of species and their rates of extinction, distribution, and protection"
C. Roberts,3265,"The biodiversity of species and their rates of extinction, distribution, and protection"
J. Sexton,3266,"The biodiversity of species and their rates of extinction, distribution, and protection"
M. Roden,3267,Epidemiology and outcome of zygomycosis: a review of 929 reported cases.
T. Zaoutis,3268,Epidemiology and outcome of zygomycosis: a review of 929 reported cases.
Wendy L. Buchanan,3269,Epidemiology and outcome of zygomycosis: a review of 929 reported cases.
T. Knudsen,3270,Epidemiology and outcome of zygomycosis: a review of 929 reported cases.
Tatyana A Sarkisova,3271,Epidemiology and outcome of zygomycosis: a review of 929 reported cases.
R. Schaufele,3272,Epidemiology and outcome of zygomycosis: a review of 929 reported cases.
M. Sein,3273,Epidemiology and outcome of zygomycosis: a review of 929 reported cases.
Tin Sein.,3274,Epidemiology and outcome of zygomycosis: a review of 929 reported cases.
C. Chiou,3275,Epidemiology and outcome of zygomycosis: a review of 929 reported cases.
Jaclyn H. Chu,3276,Epidemiology and outcome of zygomycosis: a review of 929 reported cases.
D. Kontoyiannis,3277,Epidemiology and outcome of zygomycosis: a review of 929 reported cases.
T. Walsh,3278,Epidemiology and outcome of zygomycosis: a review of 929 reported cases.
Timothy Jewison,3279,HMDB 3.0—The Human Metabolome Database in 2013; DrugBank 4.0: shedding new light on drug metabolism; DrugBank 3.0: a comprehensive resource for ‘Omics’ research on drugs
Yannick Djoumbou,3280,HMDB 3.0—The Human Metabolome Database in 2013; DrugBank 4.0: shedding new light on drug metabolism; DrugBank 3.0: a comprehensive resource for ‘Omics’ research on drugs
Farid Aziat,3281,HMDB 3.0—The Human Metabolome Database in 2013
Edison Dong,3282,HMDB 3.0—The Human Metabolome Database in 2013; HMDB: a knowledgebase for the human metabolome
Souhaila Bouatra,3283,HMDB 3.0—The Human Metabolome Database in 2013; HMDB: a knowledgebase for the human metabolome
I. Sinelnikov,3284,HMDB 3.0—The Human Metabolome Database in 2013; HMDB: a knowledgebase for the human metabolome
Philip Liu,3285,HMDB 3.0—The Human Metabolome Database in 2013; DrugBank 3.0: a comprehensive resource for ‘Omics’ research on drugs; HMDB: a knowledgebase for the human metabolome
Faizath Yallou,3286,HMDB 3.0—The Human Metabolome Database in 2013
T. Bjorndahl,3287,HMDB 3.0—The Human Metabolome Database in 2013
R. Perez-Pineiro,3288,HMDB 3.0—The Human Metabolome Database in 2013
Felicity Allen,3289,HMDB 3.0—The Human Metabolome Database in 2013
The UniProt Consortium,3290,UniProt: the universal protein knowledgebase
G. R. van der Werf,3291,"Global fire emissions and the contribution of deforestation, savanna, forest, agricultural, and peat fires (1997-2009)"
J. Randerson,3292,"Global fire emissions and the contribution of deforestation, savanna, forest, agricultural, and peat fires (1997-2009)"
L. Giglio,3293,"Global fire emissions and the contribution of deforestation, savanna, forest, agricultural, and peat fires (1997-2009)"
G. James Collatz,3294,"Global fire emissions and the contribution of deforestation, savanna, forest, agricultural, and peat fires (1997-2009)"
M. Mu,3295,"Global fire emissions and the contribution of deforestation, savanna, forest, agricultural, and peat fires (1997-2009)"
P. Kasibhatla,3296,"Global fire emissions and the contribution of deforestation, savanna, forest, agricultural, and peat fires (1997-2009)"
D. Morton,3297,"Global fire emissions and the contribution of deforestation, savanna, forest, agricultural, and peat fires (1997-2009)"
R. DeFries,3298,"Global fire emissions and the contribution of deforestation, savanna, forest, agricultural, and peat fires (1997-2009)"
Yufang Jin,3299,"Global fire emissions and the contribution of deforestation, savanna, forest, agricultural, and peat fires (1997-2009)"
Thijs T Van Leeuwen,3300,"Global fire emissions and the contribution of deforestation, savanna, forest, agricultural, and peat fires (1997-2009)"
North Carolina,3301,"Global fire emissions and the contribution of deforestation, savanna, forest, agricultural, and peat fires (1997-2009)"
Runying Mao,3302,Mining Frequent Patterns without Candidate Generation: A Frequent-Pattern Tree Approach
S. Budavari,3303,The Merck index
Maryadele J. O'Neil,3304,The Merck index
G. Wiederhold,3305,Mediators in the architecture of future information systems; SIMPLIcity: Semantics-Sensitive Integrated Matching for Picture LIbraries
Jia-Bin Huang,3306,Single image super-resolution from transformed self-exemplars
Abhishek Singh,3307,Single image super-resolution from transformed self-exemplars
N. Ahuja,3308,Single image super-resolution from transformed self-exemplars
David L. Wheeler,3309,Database resources of the National Center for Biotechnology Information; Database resources of the National Center for Biotechnology Information: update
Stephen H. Bryant,3310,Database resources of the National Center for Biotechnology Information
Deanna M. Church,3311,Database resources of the National Center for Biotechnology Information
Ron Edgar,3312,Database resources of the National Center for Biotechnology Information
S. Federhen,3313,Database resources of the National Center for Biotechnology Information; Database resources of the National Center for Biotechnology Information: update
Wolfgang Helmberg,3314,Database resources of the National Center for Biotechnology Information
Yuri Kapustin,3315,Database resources of the National Center for Biotechnology Information
D. L. Kenton,3316,Database resources of the National Center for Biotechnology Information
Oleg Khovayko,3317,Database resources of the National Center for Biotechnology Information
Thomas L. Madden,3318,Database resources of the National Center for Biotechnology Information
Gregory D. Schuler,3319,Database resources of the National Center for Biotechnology Information
L. M. Schriml,3320,Database resources of the National Center for Biotechnology Information
Edwin Sequeira,3321,Database resources of the National Center for Biotechnology Information
Stephen T. Sherry,3322,Database resources of the National Center for Biotechnology Information
A. Souvorov,3323,Database resources of the National Center for Biotechnology Information
Tugba Onal Suzek,3324,Database resources of the National Center for Biotechnology Information; Database resources of the National Center for Biotechnology Information: update
Lukas Wagner,3325,Database resources of the National Center for Biotechnology Information
B. Liu,3326,Integrating Classification and Association Rule Mining
W. Hsu,3327,Integrating Classification and Association Rule Mining
Y. Ma,3328,Integrating Classification and Association Rule Mining
J. Hadfield,3329,Nextstrain: real-time tracking of pathogen evolution
Colin Megill,3330,Nextstrain: real-time tracking of pathogen evolution
Sidney M. Bell,3331,Nextstrain: real-time tracking of pathogen evolution
J. Huddleston,3332,Nextstrain: real-time tracking of pathogen evolution
B. Potter,3333,Nextstrain: real-time tracking of pathogen evolution
Charlton Callender,3334,Nextstrain: real-time tracking of pathogen evolution
P. Sagulenko,3335,Nextstrain: real-time tracking of pathogen evolution
T. Bedford,3336,Nextstrain: real-time tracking of pathogen evolution
R. Neher,3337,Nextstrain: real-time tracking of pathogen evolution
B. Chor,3338,Private information retrieval
E. Kushilevitz,3339,Private information retrieval
Oded Goldreich,3340,Private information retrieval
M. Sudan,3341,Private information retrieval
G. Leontiadis,3342,Helicobacter pylori infection.
P. Moayyedi,3343,Helicobacter pylori infection.
Alexander C Ford,3344,Helicobacter pylori infection.
P. Greenberg,3345,Revised international prognostic scoring system for myelodysplastic syndromes.
